id;name;Image;slotType;weaponType;Url;Level;Tibia Buy Price;Tibia Sell Price;Is Missing Tibia source;Buy;Sell;LootFrom;absorbPercentAll;absorbPercentDeath;absorbPercentEarth;absorbPercentEnergy;absorbPercentFire;absorbPercentHoly;absorbPercentIce;absorbPercentLifeDrain;absorbPercentManaDrain;absorbPercentPhysical;absorbPercentPoison;allowpickupable;ammoType;armor;attack;blockprojectile;charges;containerSize;corpseType;decayTo;defense;description;destroyTo;duration;effect;elementEarth;elementEnergy;elementFire;elementIce;extradef;femaleTransformTo;field;floorchange;fluidSource;fluidcontainer;forceSerialize;healthGain;healthTicks;hitChance;invisible;levelDoor;magiclevelpoints;maleTransformTo;manaGain;manaTicks;manashield;maxHitChance;maxTextLen;partnerDirection;range;readable;replaceable;rotateTo;runeSpellName;shootType;showattributes;showcharges;showcount;showduration;skillAxe;skillClub;skillDist;skillFist;skillShield;skillSword;speed;stopduration;suppressDrown;suppressDrunk;transformDeEquipTo;transformEquipTo;transformTo;type;weight;worth;writeOnceItemId;writeable
1998;green backpack;;backpack;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1800;;;
1999;yellow backpack;;backpack;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1800;;;
2000;red backpack;;backpack;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1800;;;
2001;purple backpack;;backpack;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1800;;;
2002;blue backpack;;backpack;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1800;;;
2003;grey backpack;;backpack;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1800;;;
2004;golden backpack;;backpack;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1800;;;
2111;snowball;;;distance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;snowball;;;;;;;;;;;;;;;;;;;80;;;
2121;wedding ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;
2123;ring of the sky;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;
2124;crystal ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;
2125;crystal necklace;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;490;;;
2126;bronzen necklace;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;
2127;emerald bangle;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;;;
2129;wolf tooth chain;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330;;;
2130;golden amulet;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Many gems glitter on the amulet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;830;;;
2131;star amulet;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;660;;;
2132;silver necklace;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;550;;;
2133;ruby necklace;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;570;;;
2135;scarab amulet;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;;;
2136;demonbone amulet;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;
2138;starlight amulet;;necklace;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5200;;;
2139;ancient tiara;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;450;;;
2142;ancient amulet;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;840;;;
2161;strange talisman;;necklace;;;;;;;;;;;;;10;;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;290;;;
2164;might ring;;ring;;;;;;;;;;20;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;100;;;
2165;stealth ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;2202;;;100;;;
2166;power ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;2203;;;80;;;
2167;energy ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;2204;;;80;;;
2168;life ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;2205;;;80;;;
2169;time ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;2206;;;90;;;
2170;silver amulet;;necklace;;;;;;;;;;;;;;;;;;;;10;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;500;;;
2171;platinum amulet;;necklace;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;It is an amulet of protection.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;600;;;
2172;bronze amulet;;necklace;;;;;;;;;;;;;;;;;;20;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;500;;;
2173;amulet of loss;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;420;;;
2175;spellbook;;;shield;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;It shows your spells and can also shield against attack when worn.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5800;;;
2179;gold ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;
2181;terra rod;;;wand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Small stones are flying from its tip.;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;smallearth;;;;;;;;;;;;;;;;;;;2500;;;
2182;snakebite rod;;;wand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;It seems to twitch and quiver as if trying to escape your grip.;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;smallearth;;;;;;;;;;;;;;;;;;;4300;;;
2183;hailstorm rod;;;wand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;It grants you the power of striking your foes with furious hailstorms.;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;smallice;;;;;;;;;;;;;;;;;;;2700;;;
2185;necrotic rod;;;wand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;It was brought up from hell to deliver death.;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;death;;;;;;;;;;;;;;;;;;;2300;;;
2186;moonlight rod;;;wand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Icecold rays of moonlight shimmer on its tip.;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;smallice;;;;;;;;;;;;;;;;;;;2100;;;
2187;wand of inferno;;;wand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;It unleashes the very fires of hell.;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;fire;;;;;;;;;;;;;;;;;;;2700;;;
2188;wand of decay;;;wand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;It is half-rotten itself and reeks terribly.;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;death;;;;;;;;;;;;;;;;;;;2300;;;
2189;wand of cosmic energy;;;wand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The energy of a radiant star is trapped inside its globe.;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;energy;;;;;;;;;;;;;;;;;;;2500;;;
2190;wand of vortex;;;wand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Surges of energy rush through the tip of this wand.;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;energy;;;;;;;;;;;;;;;;;;;1900;;;
2191;wand of dragonbreath;;;wand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Legends say that this wand holds the soul of a young dragon.;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;fire;;;;;;;;;;;;;;;;;;;2300;;;
2195;boots of haste;;feet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;40;;;;;;;;750;;;
2196;broken amulet;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;420;;;
2197;stone skin amulet;;necklace;;;;;;;;;;;80;;;;;;;;80;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;760;;;
2198;elven amulet;;necklace;;;;;;;;;;5;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;270;;;
2199;garlic necklace;;necklace;;;;;;;;;;;;;;;;;20;;;;;;;;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;380;;;
2200;protection amulet;;necklace;;;;;;;;;;;;;;;;;;;6;;;;;;;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;550;;;
2201;dragon necklace;;necklace;;;;;;;;;;;;;;8;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;630;;;
2202;stealth ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;600;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2165;;;;100;;;
2203;power ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;5;;;;;;;2166;;;;80;;;
2204;energy ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;1200;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;2167;;;;80;;;
2205;life ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;1200;;;;;;;;;;;;;1;3000;;;;;;4;3000;;;;;;;;;;;;;;1;;;;;;;;;;;2168;;;;80;;;
2206;time ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;60;;;;2169;;;;90;;;
2207;sword ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;2210;;;90;;;
2208;axe ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;2211;;;90;;;
2209;club ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;2212;;;90;;;
2210;sword ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;1800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;4;;;;;2207;;;;90;;;
2211;axe ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;1800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;;;;;;;;;;2208;;;;90;;;
2212;club ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;1800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;4;;;;;;;;;2209;;;;90;;;
2213;dwarven ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;2215;;;110;;;
2214;ring of healing;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;2216;;;80;;;
2215;dwarven ring;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;2213;;;;110;;;
2319;strange symbol;;necklace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;;;
2321;giant smithhammer;;;club;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;14;This cyclopean hammer seems to be an awesome smithing tool.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6800;;;
2323;hat of the mad;;head;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;You have a vague feeling that it looks somewhat silly.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;
2342;helmet of the ancients;;head;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;The gem of the helmet is burned out and should be replaced.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2760;;;
2343;helmet of the ancients;;head;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;2342;;The gem is glowing with power.;;1800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2760;;;
2357;ring of wishes;;ring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;
2358;boots of waterwalking;;feet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;800;;;
2365;backpack of holding;;backpack;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500;;;
2376;sword;;;sword;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;12;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3500;;;
2377;two handed sword;;two-handed;sword;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7000;;;
2378;battle axe;;two-handed;axe;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5000;;;
2379;dagger;;;sword;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;950;;;
2380;hand axe;;;axe;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1800;;;
2381;halberd;;two-handed;axe;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9000;;;
2382;club;;;club;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2500;;;
2383;spike sword;;;sword;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;21;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5000;;;
2384;rapier;;;sword;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;8;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500;;;
2385;sabre;;;sword;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;10;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2500;;;
2386;axe;;;axe;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4000;;;
2387;double axe;;two-handed;axe;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7000;;;
2388;hatchet;;;axe;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3500;;;
2389;spear;;;distance;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;spear;;;;;;;;;;;;;;;;;;;2000;;;
2390;magic longsword;;two-handed;sword;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;40;It is the magic Cyclopmania Sword.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4300;;;
2391;war hammer;;two-handed;club;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8500;;;
2392;fire sword;;;sword;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;20;The blade is a magic flame.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2300;;;
2393;giant sword;;two-handed;sword;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;22;This sword has been forged by ancient giants.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18000;;;
2394;morning star;;;club;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5400;;;
2395;carlin sword;;;sword;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4000;;;
2396;ice rapier;;;sword;;;;;;;;;;;;;;;;;;;;;;;60;;1;;;;1;A deadly but fragile weapon.;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500;;;
2397;longsword;;;sword;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4200;;;
2398;mace;;;club;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2800;;;
2399;throwing star;;;distance;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;throwingstar;;;;;;;;;;;;;;;;;;;200;;;
2400;magic sword;;;sword;;;;;;;;;;;;;;;;;;;;;;;48;;;;;;35;It is the Sword of Valor.;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4200;;;
2401;staff;;two-handed;club;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3800;;;
2402;silver dagger;;;sword;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1019;;;
2403;knife;;;sword;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;420;;;
2404;combat knife;;;sword;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;869;;;
2405;sickle;;;axe;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;
2406;short sword;;;sword;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3500;;;
2407;bright sword;;;sword;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;30;The blade shimmers in light blue.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2900;;;
2408;warlord sword;;two-handed;sword;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;38;Strong powers flow in this magic sword.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6400;;;
2409;serpent sword;;;sword;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;15;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4100;;;
2410;throwing knife;;;distance;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;throwingknife;;;;;;;;;;;;;;;;;;;500;;;
